Iso639,Language,Visibility,Family,Region,Primary Country,Country Code,Lat,Lon
pnb,<a href='https://www.ethnologue.com/language/pnb' target='_blank'>Western Panjabi</a>,0,Indo-European,Southern Asia,Pakistan,PK,31.6155,73.3228
czh,<a href='https://www.ethnologue.com/language/czh' target='_blank'>Huizhou Chinese</a>,0.02720348204570185,Sino-Tibetan,Eastern Asia,China,CN,29.6246,118.1569
skr,<a href='https://www.ethnologue.com/language/skr' target='_blank'>Saraiki</a>,0.0544069640914037,Indo-European,Southern Asia,Pakistan,PK,29.9644,71.2693
zlm,<a href='https://www.ethnologue.com/language/zlm' target='_blank'>Malay (individual language)</a>,0.08161044613710555,Austronesian,South-Eastern Asia,Malaysia,MY,0.4559,101.7002
tts,<a href='https://www.ethnologue.com/language/tts' target='_blank'>Northeastern Thai</a>,0.1088139281828074,Tai-Kadai,South-Eastern Asia,Thailand,TH,16.1155,102.999
rkt,<a href='https://www.ethnologue.com/language/rkt' target='_blank'>Rangpuri</a>,0.1088139281828074,Indo-European,Southern Asia,Bangladesh,BD,25.5478,89.5511
bar,<a href='https://www.ethnologue.com/language/bar' target='_blank'>Bavarian</a>,0.1632208922742111,Indo-European,Western Europe,Austria,AT,48.207,12.0464
hne,<a href='https://www.ethnologue.com/language/hne' target='_blank'>Chhattisgarhi</a>,0.19042437431991296,Indo-European,Southern Asia,India,IN,21.2783,81.8272
ctg,<a href='https://www.ethnologue.com/language/ctg' target='_blank'>Chittagonian</a>,0.2176278563656148,Indo-European,Southern Asia,Bangladesh,BD,22.3239,92.1144
dcc,<a href='https://www.ethnologue.com/language/dcc' target='_blank'>Deccan</a>,0.24483133841131663,Indo-European,Southern Asia,India,IN,18.6311,75.4928
fuv,<a href='https://www.ethnologue.com/language/fuv' target='_blank'>Nigerian Fulfulde</a>,0.2720348204570185,Niger-Congo,Western Africa,Nigeria,NG,11.6915,14.8499
aeb,<a href='https://www.ethnologue.com/language/aeb' target='_blank'>Tunisian Arabic</a>,0.2992383025027203,Afro-Asiatic,Northern Africa,Tunisia,TN,34.1204,9.5726
